sensors 30
relays 292
cost 32 100
cost 33 100
cost 34 100
cost 35 100
cost 36 100
cost 37 100
cost 38 100
cost 39 100
cost 40 100
cost 41 100
cost 42 100
cost 43 100
cost 44 100
cost 45 100
cost 46 100
cost 47 100
cost 48 100
cost 49 100
cost 50 100
cost 51 100
cost 52 100
cost 53 100
cost 54 100
cost 55 100
cost 56 100
cost 57 100
cost 58 100
cost 59 100
cost 60 100
cost 61 100
cost 62 100
cost 63 100
cost 64 100
cost 65 100
cost 66 100
cost 67 100
cost 68 100
cost 69 100
cost 70 100
cost 71 100
cost 72 100
cost 73 100
cost 74 100
cost 75 100
cost 76 100
cost 77 100
cost 78 100
cost 79 100
cost 80 100
cost 81 100
cost 82 100
cost 83 100
cost 84 100
cost 85 100
cost 86 100
cost 87 100
cost 88 100
cost 89 100
cost 90 100
cost 91 100
cost 92 100
cost 93 100
cost 94 100
cost 95 100
cost 96 100
cost 97 100
cost 98 100
cost 99 100
cost 100 100
cost 101 100
cost 102 100
cost 103 100
cost 104 100
cost 105 100
cost 106 100
cost 107 100
cost 108 100
cost 109 100
cost 110 100
cost 111 100
cost 112 100
cost 113 100
cost 114 100
cost 115 100
cost 116 100
cost 117 100
cost 118 100
cost 119 100
cost 120 100
cost 121 100
cost 122 100
cost 123 100
cost 124 100
cost 125 100
cost 126 100
cost 127 100
cost 128 100
cost 129 100
cost 130 100
cost 131 100
cost 132 100
cost 133 100
cost 134 100
cost 135 100
cost 136 100
cost 137 100
cost 138 100
cost 139 100
cost 140 100
cost 141 100
cost 142 100
cost 143 100
cost 144 100
cost 145 100
cost 146 100
cost 147 100
cost 148 100
cost 149 100
cost 150 100
cost 151 100
cost 152 100
cost 153 100
cost 154 100
cost 155 100
cost 156 100
cost 157 100
cost 158 100
cost 159 100
cost 160 100
cost 161 100
cost 162 100
cost 163 100
cost 164 100
cost 165 100
cost 166 100
cost 167 100
cost 168 100
cost 169 100
cost 170 100
cost 171 100
cost 172 100
cost 173 100
cost 174 100
cost 175 100
cost 176 100
cost 177 100
cost 178 100
cost 179 100
cost 180 100
cost 181 100
cost 182 100
cost 183 100
cost 184 100
cost 185 100
cost 186 100
cost 187 100
cost 188 100
cost 189 100
cost 190 100
cost 191 100
cost 192 100
cost 193 100
cost 194 100
cost 195 100
cost 196 100
cost 197 100
cost 198 100
cost 199 100
cost 200 100
cost 201 100
cost 202 100
cost 203 100
cost 204 100
cost 205 100
cost 206 100
cost 207 100
cost 208 100
cost 209 100
cost 210 100
cost 211 100
cost 212 100
cost 213 100
cost 214 100
cost 215 100
cost 216 100
cost 217 100
cost 218 100
cost 219 100
cost 220 100
cost 221 100
cost 222 100
cost 223 100
cost 224 100
cost 225 100
cost 226 100
cost 227 100
cost 228 100
cost 229 100
cost 230 100
cost 231 100
cost 232 100
cost 233 100
cost 234 100
cost 235 100
cost 236 100
cost 237 100
cost 238 100
cost 239 100
cost 240 100
cost 241 100
cost 242 100
cost 243 100
cost 244 100
cost 245 100
cost 246 100
cost 247 100
cost 248 100
cost 249 100
cost 250 100
cost 251 100
cost 252 100
cost 253 100
cost 254 100
cost 255 100
cost 256 100
cost 257 100
cost 258 100
cost 259 100
cost 260 100
cost 261 100
cost 262 100
cost 263 100
cost 264 100
cost 265 100
cost 266 100
cost 267 100
cost 268 100
cost 269 100
cost 270 100
cost 271 100
cost 272 100
cost 273 100
cost 274 100
cost 275 100
cost 276 100
cost 277 100
cost 278 100
cost 279 100
cost 280 100
cost 281 100
cost 282 100
cost 283 100
cost 284 100
cost 285 100
cost 286 100
cost 287 100
cost 288 100
cost 289 100
cost 290 100
cost 291 100
cost 292 100
cost 293 100
cost 294 100
cost 295 100
cost 296 100
cost 297 100
cost 298 100
cost 299 100
cost 300 100
cost 301 100
cost 302 100
cost 303 100
cost 304 100
cost 305 100
cost 306 100
cost 307 100
cost 308 100
cost 309 100
cost 310 100
cost 311 100
cost 312 100
cost 313 100
cost 314 100
cost 315 100
cost 316 100
cost 317 100
cost 318 100
cost 319 100
cost 320 100
cost 321 100
cost 322 100
cost 323 100
e 2 34 89.7 122880 5.80599952961313e-08 5e-08
e 2 35 89.9 122880 6.53587659587243e-08 5e-08
e 2 36 89.9 122880 1.05175705767043e-07 5e-08
e 2 37 88.9 122880 6.02820615614523e-08 5e-08
e 2 38 88.8 122880 8.16347570234248e-08 5e-08
e 2 42 88.4 122880 1.94063473209409e-07 5e-08
e 2 181 89.9 122880 4.79357865898065e-07 5e-08
e 2 182 89.3 122880 1.89377108543113e-07 5e-08
e 2 183 89.7 122880 8.69108812621243e-08 5e-08
e 2 206 89.8 122880 2.45890168930207e-07 5e-08
e 3 43 87.9 122880 9.26729736946978e-08 5e-08
e 3 44 86.2 122880 5.67194875892221e-08 5e-08
e 3 45 86.9 122880 8.09819540223261e-08 5e-08
e 3 60 85 122880 1.20101587582708e-07 5e-08
e 3 61 84.9 122880 7.02123148495812e-08 5e-08
e 3 62 85.5 122880 6.3078016079546e-08 5e-08
e 3 63 87.8 122880 8.95503853547783e-08 5e-08
e 3 64 89.9 122880 1.79075268623422e-07 5e-08
e 3 65 85.5 122880 6.66547872699661e-08 5e-08
e 3 66 87.4 122880 9.90542218482979e-08 5e-08
e 3 67 87 122880 1.87194928600807e-07 5e-08
e 3 140 89.6 122880 3.66381958416345e-07 5e-08
e 3 141 88.2 122880 2.49576911351137e-07 5e-08
e 3 142 88.9 122880 2.21284866708682e-07 5e-08
e 3 144 89.4 122880 2.54834219693119e-07 5e-08
e 3 299 87.6 122880 1.14545404153939e-07 5e-08
e 3 300 87.8 122880 2.33086756773941e-07 5e-08
e 4 48 84.3 122880 6.99336721686082e-08 5e-08
e 4 49 84.2 122880 6.45674547510519e-08 5e-08
e 4 50 87.3 122880 9.33598561069148e-08 5e-08
e 4 51 85.2 122880 8.64857959492088e-08 5e-08
e 4 52 89.3 122880 1.77332234731976e-07 5e-08
e 4 57 89.9 122880 2.49182750183e-07 5e-08
e 4 58 87.3 122880 1.07718997626498e-07 5e-08
e 4 94 90 122880 4.17499516906296e-07 5e-08
e 4 95 89.3 122880 1.7505529423496e-07 5e-08
e 4 100 89.6 122880 5.31896182685651e-07 5e-08
e 4 102 89.1 122880 4.51028169474245e-07 5e-08
e 4 295 84.3 122880 6.76283203180143e-08 5e-08
e 4 318 89.1 122880 1.16457340552496e-07 5e-08
e 4 319 88.6 122880 9.93089276825799e-08 5e-08
e 4 320 88.7 122880 6.36426420354597e-08 5e-08
e 4 321 88.9 122880 6.31242083537675e-08 5e-08
e 5 54 89.3 122880 9.86263540117822e-07 5e-08
e 5 55 87.6 122880 3.55570754182562e-07 5e-08
e 5 56 86.6 122880 1.23460866474132e-07 5e-08
e 5 57 89.1 122880 1.53636187842231e-07 5e-08
e 5 58 89.8 122880 2.76994058776006e-07 5e-08
e 5 59 87.6 122880 6.9522337242342e-08 5e-08
e 5 151 87.2 122880 2.06566594600107e-07 5e-08
e 5 152 89.8 122880 2.88049119130413e-07 5e-08
e 5 313 88.8 122880 1.1664236298687e-07 5e-08
e 5 314 87.3 122880 5.97281252231374e-08 5e-08
e 5 315 86.7 122880 6.41981297107381e-08 5e-08
e 6 72 89.9 122880 2.65442824355454e-07 5e-08
e 6 74 89.6 122880 6.88290207259717e-08 5e-08
e 6 76 89.8 122880 6.62154240249828e-08 5e-08
e 6 77 88.6 122880 6.74620873563187e-08 5e-08
e 6 78 89.9 122880 1.07048163331003e-07 5e-08
e 6 81 89.3 122880 1.46197711022811e-07 5e-08
e 6 82 89.6 122880 7.89929045790579e-08 5e-08
e 6 91 89.3 122880 3.0711151264445e-07 5e-08
e 6 92 89.5 122880 1.65471660165143e-07 5e-08
e 6 113 88.9 122880 1.1451505809492e-07 5e-08
e 6 323 89.7 122880 9.88623250217149e-08 5e-08
e 7 8 88.8 122880 3.04911099736681e-07 5e-08
e 7 32 86.1 122880 6.36494876353662e-08 5e-08
e 7 45 88.3 122880 1.88680342089941e-07 5e-08
